team,win_rate,draw_rate,avg_goals_scored,avg_goals_conceded
Bologna 1909,0.3809523809523809,0.2312925170068027,1.4829931972789117,1.45578231292517
Fulham,0.3433583959899749,0.1303258145363408,4.987468671679198,5.641604010025063
Mexique,0.1927710843373494,0.2248995983935743,1.1686746987951808,2.200803212851405
Hongrie,0.3055555555555556,0.1805555555555555,1.0555555555555556,1.4652777777777777
Cagliari Calcio,0.2571428571428571,0.1428571428571428,1.2285714285714286,2.092857142857143
Rayo Vallecano,0.2788461538461538,0.2019230769230769,1.3846153846153846,2.076923076923077
Burnley,0.4267782426778242,0.0794979079497908,7.334728033472803,7.891213389121339
Real Valladolid,0.2650602409638554,0.2771084337349397,1.4096385542168677,1.963855421686747
Osasuna,0.3243243243243243,0.2522522522522522,1.351351351351351,1.6846846846846846
Leicester City,0.237037037037037,0.1851851851851851,1.2444444444444445,2.051851851851852
Getafe,0.2685185185185185,0.1296296296296296,1.1851851851851851,2.0277777777777777
Freiburg,0.3223140495867768,0.2231404958677686,1.421487603305785,1.578512396694215
Genoa,0.2312925170068027,0.1768707482993197,1.272108843537415,1.9931972789115648
République tchèque,0.46875,0.203125,1.734375,1.296875
Écosse,0.2407407407407407,0.1759259259259259,1.2777777777777777,2.203703703703704
Elche,0.2333333333333333,0.1333333333333333,1.0333333333333334,2.1
Levante UD,0.2916666666666667,0.25,1.3333333333333333,1.7083333333333333
Real Oviedo,0.3928571428571428,0.1428571428571428,1.5357142857142858,1.75
Lucknow Super Giants (cyber),0.4090909090909091,0.0,142.77272727272728,148.8181818181818
Sri Lanka (cyber),0.2857142857142857,0.0,140.57142857142858,162.07142857142858
Rajasthan Royals (cyber),0.8,0.0,158.84,146.0
India (cyber),0.4285714285714285,0.0,144.07142857142858,149.5
Chinnamasta Lions,0.5,0.0,163.0,163.0
Mumbai Indians (cyber),0.5,0.0909090909090909,148.27272727272728,141.22727272727272
Afghanistan (cyber),0.625,0.0,133.75,122.75
Tigers Tokyo,1.0,0.0,115.0,114.0
Boost Defenders,0.6666666666666666,0.0,183.33333333333331,195.33333333333331
Zimbabwe (cyber),0.3333333333333333,0.0,120.58333333333331,128.58333333333334
Punjab Kings (cyber),0.5238095238095238,0.0,147.8095238095238,145.38095238095238
PARIVISION,1.0,0.0,2.0,1.0
New Zealand (cyber),0.4117647058823529,0.0,147.05882352941177,154.64705882352942
Cricket Stars,0.0,0.0,50.0,129.0
BCC MUS Plovdiv,0.0,0.0,71.0,121.0
Lisboa Panthers,1.0,0.0,207.0,89.0
Ireland (cyber),0.0833333333333333,0.0,120.25,142.83333333333334
Chennai Carvers (cyber),0.25,0.0,144.1875,154.0
South Africa (cyber),0.6,0.0,168.2,141.0
BIG,1.0,0.0,2.0,1.0
Delhi Capitals (cyber),0.5714285714285714,0.0,142.9047619047619,147.71428571428572
Sofia Spartans,0.0,0.0,122.0,125.0
Australia (cyber),0.8333333333333334,0.0,159.58333333333334,146.58333333333334
Cobra Capitals,0.0,0.0,146.0,156.0
Buriram United,0.0,0.0,2.0,3.0
Gujarat Titans (cyber),0.2727272727272727,0.0454545454545454,141.04545454545453,149.04545454545453
Atreides,0.0,0.0,1.0,2.0
100 Thieves,1.0,0.0,2.0,1.0
Friends XI Piacenza,0.0,0.0,102.0,106.0
BSCU Panthers,0.5,0.0,111.5,88.0
Hermes DVS,0.5,0.0,228.0,216.0
Team Aunkere,0.0,0.0,1.0,2.0
NightBot,0.0,0.0,1.0,2.0
Team Vitality,1.0,0.0,2.0,1.0
Thailand (cyber),0.2,0.0,124.7,141.7
Angleterre A (Femmes),0.0,0.0,222.0,281.0
Karimnagar Diamonds,0.5,0.0,201.0,165.0
Sunrisers Hyderabad (cyber),0.5714285714285714,0.0,136.42857142857142,122.85714285714286
Karmine Corp,0.5,0.0,1.5,1.5
Pakistan (cyber),0.4545454545454545,0.0,147.0909090909091,139.8181818181818
Falcoes,1.0,0.0,159.0,155.0
REBORN,1.0,0.0,3.0,1.0
EYEBALLERS,0.0,0.0,1.0,2.0
MIBR Academy,0.0,0.0,1.0,2.0
Chennai Super Kings (cyber),0.4166666666666667,0.0,148.16666666666666,149.41666666666666
Team Lens,1.0,0.0,3.0,1.0
Maybe,1.0,0.0,2.0,1.0
Gloucestershire,0.5,0.0,182.0,168.5
Germany (cyber),0.5,0.0,107.41666666666669,116.25
Eye Gaming,1.0,0.0,2.0,1.0
NRG Academy,1.0,0.0,2.0,1.0
Team hooch,1.0,0.0,3.0,2.0
Simon Gauzy (France),0.0,0.0,2.0,4.0
West Indies (cyber),0.8333333333333334,0.0,143.33333333333334,123.08333333333331
NCG Esports,1.0,0.0,2.0,1.0
Fuego Gaming,0.5,0.0,1.5,1.5
Washington Freedom,1.0,0.0,129.0,126.0
Bangladesh (cyber),0.7857142857142857,0.0,126.07142857142856,110.07142857142856
Alpha Quashers Yokohama,0.0,0.0,120.0,193.0
Kolkata Knight Riders (cyber),0.5,0.0714285714285714,152.14285714285714,155.0
Walukuba Eagles,0.0,0.2,67.6,73.8
Tyloo,1.0,0.0,2.0,1.0
Fullsense,1.0,0.0,3.0,2.0
Cobra Classics,0.0,0.0,119.0,175.0
Tally Globe,0.0,0.0,112.0,113.0
Masese Hornbills,0.5,0.25,80.75,83.0
WLT,1.0,0.0,3.0,1.0
Northamptonshire Steelbacks (Femmes),0.0,0.0,101.0,144.0
Durham (Femmes),1.0,0.0,148.0,147.0
Amo Sharks,0.0,0.0,201.0,227.0
Warwickshire Bears (Femmes),0.0,0.0,161.0,165.0
Sharper Esports,1.0,0.0,3.0,2.0
Telugu Royals,1.0,0.0,91.0,87.0
Kimaka Kingfishers,0.6,0.0,78.2,79.6
Fennel,1.0,0.0,2.0,1.0
VCC,0.5,0.0,169.5,181.0
Titan King's Legion,1.0,0.0,3.0,1.0
HCC,0.0,0.0,179.0,448.0
Derbyshire (Femmes),0.0,0.0,130.0,134.0
Yorkshire,1.0,0.0,207.0,166.0
Middlesex (Femmes),1.0,0.0,174.0,163.0
Gentle Mates,1.0,0.0,2.0,1.0
Endless Journey,1.0,0.0,2.0,1.0
HBS,1.0,0.0,280.0,276.0
Northamptonshire Steelbacks,0.0,0.0,118.0,223.0
Durham,0.0,0.0,164.0,166.0
Glamorgan County,0.0,0.0,146.0,161.0
Warwickshire Bears,1.0,0.0,203.0,173.0
Hampshire Hawks,1.0,0.0,190.0,171.0
Essex,0.0,0.0,142.0,143.0
Shivamogga Yodhas,1.0,0.0,207.0,169.0
Pindi Tigers,1.0,0.0,213.0,212.0
Kuwait Swedish,0.0,0.0,144.5,163.5
Zeu5 Esports,1.0,0.0,2.0,1.0
Phantom Academy,0.0,0.0,1.0,2.0
SaD Esports,1.0,0.0,2.0,1.0
England (cyber),0.5833333333333334,0.0,159.41666666666666,159.58333333333334
K3vlar,1.0,0.0,2.0,1.0
Budondo Turacos,0.25,0.0,76.0,73.25
LPH Gaming,0.5,0.0,1.5,1.5
Imanzi Guardians,1.0,0.0,146.0,130.0
Sri Lanka U19,1.0,0.0,291.0,285.0
Hubli Tigers,0.0,0.0,191.0,211.0
Anvita Khammam Aces,1.0,0.0,190.0,171.0
Bugembe Pelicans,1.0,0.0,87.25,78.25
Namibie,1.0,0.0,297.0,296.0
Ingabo Titans,0.0,0.0,143.0,145.0
NRG Esports,0.5,0.0,1.5,1.5
Attock Lions,1.0,0.0,195.0,156.5
Angleterre U19,1.0,0.0,271.0,195.0
Gulbarga Mystics,0.0,0.0,165.0,176.0
JUMBO TEAM,1.0,0.0,2.0,1.0
G2 Esports,0.0,0.0,1.0,2.0
Artech,1.0,0.0,85.0,84.0
Lahore Zebras,0.0,0.0,160.0,164.0
Keyd Stars,1.0,0.0,2.0,1.0
Leviatan GC,0.0,0.0,1.0,2.0
Pint,0.0,0.0,105.0,156.0
555,0.5,0.0,2.0,2.0
Rune Eaters Esports,0.0,1.0,1.0,1.0
Warwickshire 2nd XI,1.0,0.0,142.0,141.0
MIBR.LOS,1.0,0.0,2.0,1.0
Team Liquid,0.0,1.0,1.0,1.0
Fancy United Esports,1.0,0.0,2.0,1.0
Nottinghamshire 2nd XI,1.0,0.0,89.0,85.0
PsychoFace,0.0,0.0,1.0,2.0
Murree Jaguars,1.0,0.0,154.0,153.0
Villianur Mohit Kings,1.0,0.0,199.0,149.0
MIR,0.0,0.0,1.0,2.0
Ranga Reddy Risers,1.0,0.0,252.0,91.0
Misa Esports,0.0,0.0,1.0,2.0
Leinster Lightning,1.0,0.0,418.0,414.0
Team Spirit,0.0,1.0,1.0,1.0
largadosypelados,1.0,0.0,2.0,1.0
Fnatic,1.0,0.0,2.0,1.0
Kohat Markhors,0.0,0.0,132.0,134.0
Besiktas,0.0,0.0,1.0,2.0
Essex (Femmes),0.0,0.0,177.0,178.0
UCAM Esports Club,0.0,0.0,1.0,2.0
Team Yandex,0.0,1.0,1.0,1.0
Eternals 11,0.0,0.0,148.0,150.0
