team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
Gérone,1.3833333333333333,83,60,2.1166666666666667,1.791044776119403,120.0,67.0,1.955223880597015,1.5871890547263683,2.0359452736318406,127.0,0.5,0.2
Heart of Midlothian,7.049079754601227,1149,163,7.656441717791411,7.176100628930818,1141.0,159.0,8.09433962264151,7.112590191766023,7.87539067021646,322.0,0.5,0.2
Hellas Verona,1.2666666666666666,114,90,1.6666666666666667,1.0740740740740742,87.0,81.0,1.6790123456790123,1.1703703703703705,1.6728395061728394,171.0,0.5,0.2
Holstein,1.2121212121212122,80,66,2.257575757575758,1.0769230769230769,70.0,65.0,2.2,1.1445221445221445,2.228787878787879,131.0,0.5,0.2
Hongrie,1.037037037037037,84,81,1.654320987654321,1.16,87.0,75.0,1.28,1.0985185185185184,1.4671604938271605,156.0,0.5,0.2
Inter Miami,3.885286783042394,1558,401,3.5860349127182043,3.35048231511254,2084.0,622.0,3.7781350482315115,3.617884549077467,3.682084980474858,1023.0,0.5,0.2
Ipswich Town,1.3625,109,80,1.6375,1.1466666666666667,86.0,75.0,1.6666666666666667,1.2545833333333334,1.6520833333333333,155.0,0.5,0.2
Italie,1.7875,143,80,1.1125,1.4050632911392404,111.0,79.0,1.2658227848101267,1.5962816455696203,1.1891613924050635,159.0,0.5,0.2
Juventus,3.413860103626943,5271,1544,3.4604922279792745,3.304054054054054,4890.0,1480.0,3.3,3.3589570788404988,3.380246113989637,3024.0,0.5,0.2
Las Palmas,1.5405405405405406,57,37,1.0810810810810811,1.326086956521739,61.0,46.0,1.4782608695652173,1.4333137485311398,1.2796709753231492,83.0,0.5,0.2
Latium,1.5974842767295598,254,159,1.4465408805031446,1.7516339869281046,268.0,153.0,1.3660130718954249,1.6745591318288322,1.4062769761992846,312.0,0.5,0.2
Lecce,1.1369863013698631,83,73,1.5616438356164384,1.0897435897435896,85.0,78.0,1.358974358974359,1.1133649455567265,1.4603090972953987,151.0,0.5,0.2
